Location,Suburb,Postcode,State,Zone
BIBRA LAKE 6163,Bibra Lake,6163,Western Australia,Perth
BIBRA LAKE DC 6163,Bibra Lake DC,6163,Western Australia,Perth
BICTON 6157,Bicton,6157,Western Australia,Perth
BIDDESTON 4401,Biddeston,4401,Queensland,Toowoomba
BIDWILL 2770,Bidwill,2770,New South Wales,Sydney
BIG HILL 3231,Big Hill,3231,Victoria,Geelong
BIG HILL 3555,Big Hill,3555,Victoria,Bendigo
BIGGERA WATERS 4216,Biggera Waters,4216,Queensland,Gold Coast
BILAMBIL 2486,Bilambil,2486,New South Wales,Gold Coast
BILAMBIL HEIGHTS 2486,Bilambil Heights,2486,New South Wales,Gold Coast
BILGOLA 2107,Bilgola,2107,New South Wales,Sydney
BILGOLA BEACH 2107,Bilgola Beach,2107,New South Wales,Sydney
BILGOLA PLATEAU 2107,Bilgola Plateau,2107,New South Wales,Sydney
BILINGA 4225,Bilinga,4225,Queensland,Gold Coast
BILLINUDGEL 2483,Billinudgel,2483,New South Wales,Northern Rivers
BIMBERI 2611,Bimberi,2611,New South Wales,Canberra
BIRCHGROVE 2041,Birchgrove,2041,New South Wales,Sydney
BIRKDALE 4159,Birkdale,4159,Queensland,Brisbane
BIRKENHEAD 5015,Birkenhead,5015,South Australia,Adelaide
BIRMINGHAM GARDENS 2287,Birmingham Gardens,2287,New South Wales,Newcastle
BIRNAM 4352,Birnam,4352,Queensland,Toowoomba
BIRREGURRA 3242,Birregurra,3242,Victoria,Geelong
BIRRONG 2143,Birrong,2143,New South Wales,Sydney
BIRTINYA 4575,Birtinya,4575,Queensland,Sunshine Coast
BISHOPS BRIDGE 2326,Bishops Bridge,2326,New South Wales,Newcastle
BITTERN 3918,Bittern,3918,Victoria,Melbourne
BLACK FOREST 5035,Black Forest,5035,South Australia,Adelaide
BLACK HEAD 2430,Black Head,2430,New South Wales,Port Macquarie
BLACK HILL 2322,Black Hill,2322,New South Wales,Newcastle
BLACK HILL 3350,Black Hill,3350,Victoria,Geelong
BLACK MOUNTAIN 2601,Black Mountain,2601,Australian Capital Territory,Canberra
BLACK MOUNTAIN 4563,Black Mountain,4563,Queensland,Sunshine Coast
BLACK RIVER 4818,Black River,4818,Queensland,Townsville
BLACK ROCK 3193,Black Rock,3193,Victoria,Melbourne
BLACK ROCK NORTH 3193,Black Rock North,3193,Victoria,Melbourne
BLACKALLS PARK 2283,Blackalls Park,2283,New South Wales,Newcastle
BLACKBURN 3130,Blackburn,3130,Victoria,Melbourne
BLACKBURN NORTH 3130,Blackburn North,3130,Victoria,Melbourne
BLACKBURN SOUTH 3130,Blackburn South,3130,Victoria,Melbourne
BLACKBUTT 2529,Blackbutt,2529,New South Wales,Wollongong
BLACKETT 2770,Blackett,2770,New South Wales,Sydney
BLACKHEATH 2785,Blackheath,2785,New South Wales,Sydney
BLACKMANS BAY 7052,Blackmans Bay,7052,Tasmania,Hobart
BLACKS BEACH 4740,Blacks Beach,4740,Queensland,Mackay
BLACKSMITHS 2281,Blacksmiths,2281,New South Wales,Newcastle
BLACKSOIL 4306,Blacksoil,4306,Queensland,Brisbane
BLACKSTONE 4304,Blackstone,4304,Queensland,Brisbane
BLACKSTONE HEIGHTS 7250,Blackstone Heights,7250,Tasmania,Launceston
BLACKTOWN 2148,Blacktown,2148,New South Wales,Sydney
BLACKTOWN WESTPOINT 2148,Blacktown Westpoint,2148,New South Wales,Sydney
BLACKWALL 2256,Blackwall,2256,New South Wales,Central Coast
BLACKWALL 7275,Blackwall,7275,Tasmania,Launceston
BLACKWOOD 5051,Blackwood,5051,South Australia,Adelaide
BLAIR ATHOL 2560,Blair Athol,2560,New South Wales,Sydney
BLAIR ATHOL 5084,Blair Athol,5084,South Australia,Adelaide
BLAIRGOWRIE 3942,Blairgowrie,3942,Victoria,Melbourne
BLAIRMOUNT 2559,Blairmount,2559,New South Wales,Sydney
BLAKEHURST 2221,Blakehurst,2221,New South Wales,Sydney
BLAKEVIEW 5114,Blakeview,5114,South Australia,Adelaide
BLAKISTON 5250,Blakiston,5250,South Australia,Adelaide
BLAXCELL 2142,Blaxcell,2142,New South Wales,Sydney
BLAXLAND 2774,Blaxland,2774,New South Wales,Sydney
BLAXLAND EAST 2774,Blaxland East,2774,New South Wales,Sydney
BLAYNEY 2799,Blayney,2799,New South Wales,Remote
BLENHEIM ROAD 2113,Blenheim Road,2113,New South Wales,Sydney
BLEWITT SPRINGS 5171,Blewitt Springs,5171,South Australia,Adelaide
BLI BLI 4560,Bli Bli,4560,Queensland,Sunshine Coast
BLIGH PARK 2756,Bligh Park,2756,New South Wales,Sydney
BLOOMSBURY 4799,Bloomsbury,4799,Queensland,Mackay
BLUE BAY 2261,Blue Bay,2261,New South Wales,Central Coast
BLUE HAVEN 2262,Blue Haven,2262,New South Wales,Central Coast
BLUE MOUNTAIN HEIGHTS 4350,Blue Mountain Heights,4350,Queensland,Toowoomba
BLUEWATER 4818,Bluewater,4818,Queensland,Townsville
BLUEWATER PARK 4818,Bluewater Park,4818,Queensland,Townsville
BLUEYS BEACH 2428,Blueys Beach,2428,New South Wales,Port Macquarie
BOAMBEE 2450,Boambee,2450,New South Wales,Coffs Harbour
BOAMBEE EAST 2452,Boambee East,2452,New South Wales,Coffs Harbour
BOAT HARBOUR 2316,Boat Harbour,2316,New South Wales,Newcastle
BOBS CREEK 2443,Bobs Creek,2443,New South Wales,Port Macquarie
BOBS FARM 2316,Bobs Farm,2316,New South Wales,Newcastle
BOGANGAR 2488,Bogangar,2488,New South Wales,Gold Coast
BOHLE 4818,Bohle,4818,Queensland,Townsville
BOHLE PLAINS 4817,Bohle Plains,4817,Queensland,Townsville
BOHNOCK 2430,Bohnock,2430,New South Wales,Port Macquarie
BOKARINA 4575,Bokarina,4575,Queensland,Sunshine Coast
BOLIVAR 5110,Bolivar,5110,South Australia,Adelaide
BOLONG 2540,Bolong,2540,New South Wales,Wollongong
BOLTON POINT 2283,Bolton Point,2283,New South Wales,Newcastle
BOLWARRA 2320,Bolwarra,2320,New South Wales,Newcastle
BOLWARRA HEIGHTS 2320,Bolwarra Heights,2320,New South Wales,Newcastle
BOMADERRY 2541,Bomaderry,2541,New South Wales,Wollongong
BOMBIRA 2850,Bombira,2850,New South Wales,Remote
BOMBO 2533,Bombo,2533,New South Wales,Wollongong
BOMEN 2650,Bomen,2650,New South Wales,Albury
BONBEACH 3196,Bonbeach,3196,Victoria,Melbourne
BOND UNIVERSITY 4229,Bond University,4229,Queensland,Gold Coast
BONDI 2026,Bondi,2026,New South Wales,Sydney
BONDI BEACH 2026,Bondi Beach,2026,New South Wales,Sydney
BONDI JUNCTION 2022,Bondi Junction,2022,New South Wales,Sydney
BONEO 3939,Boneo,3939,Victoria,Melbourne
BONGAREE 4507,Bongaree,4507,Queensland,Brisbane
BONNELLS BAY 2264,Bonnells Bay,2264,New South Wales,Newcastle
BONNER 2914,Bonner,2914,Australian Capital Territory,Canberra
BONNET BAY 2226,Bonnet Bay,2226,New South Wales,Sydney
BONNET HILL 7053,Bonnet Hill,7053,Tasmania,Hobart
BONNY HILLS 2445,Bonny Hills,2445,New South Wales,Port Macquarie
BONNYRIGG 2177,Bonnyrigg,2177,New South Wales,Sydney
BONNYRIGG HEIGHTS 2177,Bonnyrigg Heights,2177,New South Wales,Sydney
BONOGIN 4213,Bonogin,4213,Queensland,Gold Coast
BONVILLE 2441,Bonville,2441,New South Wales,Port Macquarie
BONVILLE 2450,Bonville,2450,New South Wales,Coffs Harbour
BONYTHON 2905,Bonython,2905,Australian Capital Territory,Canberra
BOOGAN 4871,Boogan,4871,Queensland,Cairns
BOOKER BAY 2257,Booker Bay,2257,New South Wales,Central Coast
BOOLAROO 2284,Boolaroo,2284,New South Wales,Newcastle
BOOMERANG BEACH 2428,Boomerang Beach,2428,New South Wales,Port Macquarie
BOONDALL 4034,Boondall,4034,Queensland,Brisbane
BOONOOROO PLAINS 4650,Boonooroo Plains,4650,Queensland,Wide Bay
BOORAGOON 6154,Booragoon,6154,Western Australia,Perth
BOORAGUL 2284,Booragul,2284,New South Wales,Newcastle
BOORAL 4655,Booral,4655,Queensland,Wide Bay
BOOROOBIN 4552,Booroobin,4552,Queensland,Sunshine Coast
BOOTAWA 2430,Bootawa,2430,New South Wales,Port Macquarie
BOOTI BOOTI 2428,Booti Booti,2428,New South Wales,Port Macquarie
BOOVAL 4304,Booval,4304,Queensland,Brisbane
BOOVAL FAIR 4304,Booval Fair,4304,Queensland,Brisbane
BOREEN POINT 4565,Boreen Point,4565,Queensland,Sunshine Coast
BORONIA 3155,Boronia,3155,Victoria,Melbourne
BORONIA HEIGHTS 4124,Boronia Heights,4124,Queensland,Brisbane
BORONIA PARK 2111,Boronia Park,2111,New South Wales,Sydney
BOSSLEY PARK 2176,Bossley Park,2176,New South Wales,Sydney
BOTANY 2019,Botany,2019,New South Wales,Sydney
BOUDDI 2251,Bouddi,2251,New South Wales,Central Coast
BOULDERCOMBE 4702,Bouldercombe,4702,Queensland,Capricorn Coast
BOURKELANDS 2650,Bourkelands,2650,New South Wales,Albury
BOW BOWING 2566,Bow Bowing,2566,New South Wales,Sydney
BOWDEN 5007,Bowden,5007,South Australia,Adelaide
BOWEN 4805,Bowen,4805,Queensland,Mackay
BOWEN HILLS 4006,Bowen Hills,4006,Queensland,Brisbane
BOWENVILLE 4404,Bowenville,4404,Queensland,Toowoomba
BOWRAL 2576,Bowral,2576,New South Wales,Wollongong
BOWRAVILLE 2449,Bowraville,2449,New South Wales,Remote
BOWSER 3678,Bowser,3678,Victoria,Albury
BOX HEAD 2257,Box Head,2257,New South Wales,Central Coast
BOX HILL 2765,Box Hill,2765,New South Wales,Sydney
BOX HILL 3128,Box Hill,3128,Victoria,Melbourne
BOX HILL CENTRAL 3128,Box Hill Central,3128,Victoria,Melbourne
BOX HILL NORTH 3129,Box Hill North,3129,Victoria,Melbourne
BOX HILL SOUTH 3128,Box Hill South,3128,Victoria,Melbourne
BOYLAND 4275,Boyland,4275,Queensland,Gold Coast
BOYNE ISLAND 4680,Boyne Island,4680,Queensland,Capricorn Coast
BOYNE VALLEY 4680,Boyne Valley,4680,Queensland,Capricorn Coast
BRABHAM 6055,Brabham,6055,Western Australia,Perth
BRACKEN RIDGE 4017,Bracken Ridge,4017,Queensland,Brisbane
BRADBURY 2560,Bradbury,2560,New South Wales,Sydney
BRADDON 2612,Braddon,2612,Australian Capital Territory,Canberra
BRAEMAR 2575,Braemar,2575,New South Wales,Wollongong
BRAESIDE 3195,Braeside,3195,Victoria,Melbourne
BRAHMA LODGE 5109,Brahma Lodge,5109,South Australia,Adelaide
BRANDON 4808,Brandon,4808,Queensland,Townsville
BRANDON PARK 3150,Brandon Park,3150,Victoria,Melbourne
BRANDY CREEK 4800,Brandy Creek,4800,Queensland,Mackay
BRANXTON 2335,Branxton,2335,New South Wales,Newcastle
BRANYAN 4670,Branyan,4670,Queensland,Wide Bay
BRASSALL 4305,Brassall,4305,Queensland,Brisbane
BRAY PARK 2484,Bray Park,2484,New South Wales,Gold Coast
BRAY PARK 4500,Bray Park,4500,Queensland,Brisbane
BRAYBROOK 3019,Braybrook,3019,Victoria,Melbourne
BREADALBANE 4800,Breadalbane,4800,Queensland,Mackay
BREADALBANE 7258,Breadalbane,7258,Tasmania,Launceston
BREAKFAST POINT 2137,Breakfast Point,2137,New South Wales,Sydney
BREAKWATER 3219,Breakwater,3219,Victoria,Geelong
BREAMLEA 3227,Breamlea,3227,Victoria,Geelong
BREDDAN 4820,Breddan,4820,Queensland,Townsville
BREMER 4305,Bremer,4305,Queensland,Brisbane
BRENDALE 4500,Brendale,4500,Queensland,Brisbane
BRENDALE BC 4500,Brendale BC,4500,Queensland,Brisbane
BRENDALE DC 4500,Brendale DC,4500,Queensland,Brisbane
BRENTWOOD 6153,Brentwood,6153,Western Australia,Perth
BRIAR HILL 3088,Briar Hill,3088,Victoria,Melbourne
BRIBIE ISLAND 4507,Bribie Island,4507,Queensland,Brisbane
BRIBIE ISLAND NORTH 4507,Bribie Island North,4507,Queensland,Brisbane
BRIDGEMAN DOWNS 4035,Bridgeman Downs,4035,Queensland,Brisbane
BRIDGES 4561,Bridges,4561,Queensland,Sunshine Coast
BRIDGEWATER 5155,Bridgewater,5155,South Australia,Adelaide
BRIDGEWATER 7030,Bridgewater,7030,Tasmania,Hobart
BRIDPORT 7262,Bridport,7262,Tasmania,Launceston
BRIGHT 3741,Bright,3741,Victoria,Albury
BRIGHTLY 4741,Brightly,4741,Queensland,Mackay
BRIGHTON 3186,Brighton,3186,Victoria,Melbourne
BRIGHTON 4017,Brighton,4017,Queensland,Brisbane
BRIGHTON 5048,Brighton,5048,South Australia,Adelaide
BRIGHTON 7030,Brighton,7030,Tasmania,Hobart
BRIGHTON EAST 3187,Brighton East,3187,Victoria,Melbourne
BRIGHTON EVENTIDE 4017,Brighton Eventide,4017,Queensland,Brisbane
BRIGHTON NATHAN STREET 4017,Brighton Nathan Street,4017,Queensland,Brisbane
BRIGHTON NORTH 3186,Brighton North,3186,Victoria,Melbourne
BRIGHTON ROAD 3184,Brighton Road,3184,Victoria,Melbourne
BRIGHTON-LE-SANDS 2216,Brighton-Le-Sands,2216,New South Wales,Sydney
BRIGHTVIEW 4311,Brightview,4311,Queensland,Remote
BRIGHTWATERS 2264,Brightwaters,2264,New South Wales,Newcastle
BRIMBIN 2430,Brimbin,2430,New South Wales,Port Macquarie
BRINDABELLA 2611,Brindabella,2611,New South Wales,Canberra
BRINGELLY 2556,Bringelly,2556,New South Wales,Sydney
BRINKIN 0810,Brinkin,0810,Northern Territory,Remote
BRINSMEAD 4870,Brinsmead,4870,Queensland,Cairns
BRISBANE 4000,Brisbane,4000,Queensland,Brisbane
BRISBANE ADELAIDE STREET 4000,Brisbane Adelaide Street,4000,Queensland,Brisbane
BRISBANE AIRPORT 4008,Brisbane Airport,4008,Queensland,Brisbane
BRISBANE CITY 4000,Brisbane City,4000,Queensland,Brisbane
BRISBANE GPO 4000,Brisbane GPO,4000,Queensland,Brisbane
BRISBANE MARKET 4106,Brisbane Market,4106,Queensland,Brisbane
BROADBEACH 4218,Broadbeach,4218,Queensland,Gold Coast
BROADBEACH WATERS 4218,Broadbeach Waters,4218,Queensland,Gold Coast
BROADMEADOW 2292,Broadmeadow,2292,New South Wales,Newcastle
BROADMEADOWS 3047,Broadmeadows,3047,Victoria,Melbourne
BROADVIEW 5083,Broadview,5083,South Australia,Adelaide
BROADWATER 2472,Broadwater,2472,New South Wales,Northern Rivers
BROADWATER 4380,Broadwater,4380,Queensland,Toowoomba
BROADWAY 2007,Broadway,2007,New South Wales,Sydney
BROADWAY NEDLANDS 6009,Broadway Nedlands,6009,Western Australia,Perth
BROCKLEHURST 2830,Brocklehurst,2830,New South Wales,Remote
BROKE 2330,Broke,2330,New South Wales,Newcastle
BROKEN HEAD 2481,Broken Head,2481,New South Wales,Northern Rivers
BROMPTON 5007,Brompton,5007,South Australia,Adelaide
BRONTE 2024,Bronte,2024,New South Wales,Sydney
BROOKDALE 6112,Brookdale,6112,Western Australia,Perth
BROOKFIELD 3338,Brookfield,3338,Victoria,Melbourne
BROOKFIELD 4069,Brookfield,4069,Queensland,Brisbane
BROOKHILL 4816,Brookhill,4816,Queensland,Townsville
BROOKLYN 3012,Brooklyn,3012,Victoria,Melbourne
BROOKLYN 7320,Brooklyn,7320,Tasmania,Launceston
BROOKLYN PARK 5032,Brooklyn Park,5032,South Australia,Adelaide
BROOKSIDE CENTRE 4053,Brookside Centre,4053,Queensland,Brisbane
BROOKSTEAD 4364,Brookstead,4364,Queensland,Toowoomba
BROOKVALE 2100,Brookvale,2100,New South Wales,Sydney
BROOKWATER 4300,Brookwater,4300,Queensland,Brisbane
BROUGHTON 2535,Broughton,2535,New South Wales,Wollongong
BROUGHTON 4820,Broughton,4820,Queensland,Townsville
BROUGHTON VALE 2535,Broughton Vale,2535,New South Wales,Wollongong
BROUGHTON VILLAGE 2534,Broughton Village,2534,New South Wales,Wollongong
BROWN HILL 3350,Brown Hill,3350,Victoria,Geelong
BROWN HILL CREEK 5062,Brown Hill Creek,5062,South Australia,Adelaide
BROWNS PLAINS 3685,Browns Plains,3685,Victoria,Albury
BROWNS PLAINS 4118,Browns Plains,4118,Queensland,Brisbane
BROWNSVILLE 2530,Brownsville,2530,New South Wales,Wollongong
BRUCE 2617,Bruce,2617,Australian Capital Territory,Canberra
BRUNKERVILLE 2323,Brunkerville,2323,New South Wales,Newcastle
BRUNSWICK 3056,Brunswick,3056,Victoria,Melbourne
BRUNSWICK EAST 3057,Brunswick East,3057,Victoria,Melbourne
BRUNSWICK HEADS 2483,Brunswick Heads,2483,New South Wales,Northern Rivers
BRUNSWICK LOWER 3056,Brunswick Lower,3056,Victoria,Melbourne
BRUNSWICK NORTH 3056,Brunswick North,3056,Victoria,Melbourne
BRUNSWICK SOUTH 3055,Brunswick South,3055,Victoria,Melbourne
BRUNSWICK WEST 3055,Brunswick West,3055,Victoria,Melbourne
BRUSHGROVE 2460,Brushgrove,2460,New South Wales,Northern Rivers
BUANGOR 3375,Buangor,3375,Victoria,Geelong
BUCASIA 4750,Bucasia,4750,Queensland,Mackay
BUCCA 2450,Bucca,2450,New South Wales,Coffs Harbour
BUCCAN 4207,Buccan,4207,Queensland,Brisbane
BUCHANAN 2323,Buchanan,2323,New South Wales,Newcastle
BUCHFELDE 5118,Buchfelde,5118,South Australia,Adelaide
BUCKETTY 2250,Bucketty,2250,New South Wales,Central Coast
BUCKLAND PARK 5120,Buckland Park,5120,South Australia,Adelaide
BUDDINA 4575,Buddina,4575,Queensland,Sunshine Coast
BUDERIM 4556,Buderim,4556,Queensland,Sunshine Coast
BUDGEWOI 2262,Budgewoi,2262,New South Wales,Central Coast
BUDGEWOI PENINSULA 2262,Budgewoi Peninsula,2262,New South Wales,Central Coast
BUFF POINT 2262,Buff Point,2262,New South Wales,Central Coast
BUFFALO CREEK 0812,Buffalo Creek,0812,Northern Territory,Remote
BULIMBA 4171,Bulimba,4171,Queensland,Brisbane
BULL CREEK 6149,Bull Creek,6149,Western Australia,Perth
BULLABURRA 2784,Bullaburra,2784,New South Wales,Sydney
BULLEEN 3105,Bulleen,3105,Victoria,Melbourne
BULLI 2516,Bulli,2516,New South Wales,Wollongong
BULLYARD 4671,Bullyard,4671,Queensland,Wide Bay
BULWER 4025,Bulwer,4025,Queensland,Brisbane
BUNDABERG 4670,Bundaberg,4670,Queensland,Wide Bay
BUNDABERG CENTRAL 4670,Bundaberg Central,4670,Queensland,Wide Bay
BUNDABERG DC 4670,Bundaberg Dc,4670,Queensland,Wide Bay
BUNDABERG EAST 4670,Bundaberg East,4670,Queensland,Wide Bay
BUNDABERG NORTH 4670,Bundaberg North,4670,Queensland,Wide Bay
BUNDABERG SOUTH 4670,Bundaberg South,4670,Queensland,Wide Bay
BUNDABERG WEST 4670,Bundaberg West,4670,Queensland,Wide Bay
BUNDAGEN 2454,Bundagen,2454,New South Wales,Coffs Harbour
BUNDALL 4217,Bundall,4217,Queensland,Gold Coast
BUNDALL BC 4217,Bundall BC,4217,Queensland,Gold Coast
BUNDALL DC 4217,Bundall DC,4217,Queensland,Gold Coast
BUNDAMBA 4304,Bundamba,4304,Queensland,Brisbane
BUNDANOON 2578,Bundanoon,2578,New South Wales,Wollongong
BUNDEWALLAH 2535,Bundewallah,2535,New South Wales,Wollongong
BUNDOORA 3083,Bundoora,3083,Victoria,Melbourne
BUNGADOO 4671,Bungadoo,4671,Queensland,Wide Bay
BUNGALOW 4870,Bungalow,4870,Queensland,Cairns
BUNGARRIBEE 2767,Bungarribee,2767,New South Wales,Sydney
BUNINYONG 3357,Buninyong,3357,Victoria,Geelong
BUNYA 4055,Bunya,4055,Queensland,Brisbane
BUNYA CREEK 4655,Bunya Creek,4655,Queensland,Wide Bay
BURANDA 4102,Buranda,4102,Queensland,Brisbane
BURBANK 4156,Burbank,4156,Queensland,Brisbane
BURDELL 4818,Burdell,4818,Queensland,Townsville
BURLEIGH DC 4220,Burleigh DC,4220,Queensland,Gold Coast
BURLEIGH HEADS 4220,Burleigh Heads,4220,Queensland,Gold Coast
BURLEIGH TOWN 4220,Burleigh Town,4220,Queensland,Gold Coast
BURLEIGH WATERS 4220,Burleigh Waters,4220,Queensland,Gold Coast
BURNETT HEADS 4670,Burnett Heads,4670,Queensland,Wide Bay
BURNEWANG 3558,Burnewang,3558,Victoria,Bendigo
BURNIE 7320,Burnie,7320,Tasmania,Launceston
BURNLEY 3121,Burnley,3121,Victoria,Melbourne
BURNLEY NORTH 3121,Burnley North,3121,Victoria,Melbourne
BURNS BEACH 6028,Burns Beach,6028,Western Australia,Perth
BURNSIDE 3023,Burnside,3023,Victoria,Melbourne
BURNSIDE 4560,Burnside,4560,Queensland,Sunshine Coast
BURNSIDE 5066,Burnside,5066,South Australia,Adelaide
BURNSIDE HEIGHTS 3023,Burnside Heights,3023,Victoria,Melbourne
BURPENGARY 4505,Burpengary,4505,Queensland,Brisbane
BURPENGARY DC 4505,Burpengary DC,4505,Queensland,Brisbane
BURPENGARY EAST 4505,Burpengary East,4505,Queensland,Brisbane
BURRADOO 2576,Burradoo,2576,New South Wales,Wollongong
BURRANEER 2230,Burraneer,2230,New South Wales,Sydney
BURRAWANG 2577,Burrawang,2577,New South Wales,Wollongong
BURSWOOD 6100,Burswood,6100,Western Australia,Perth
BURTON 5110,Burton,5110,South Australia,Adelaide
BURWOOD 2134,Burwood,2134,New South Wales,Sydney
BURWOOD 3125,Burwood,3125,Victoria,Melbourne
BURWOOD EAST 3151,Burwood East,3151,Victoria,Melbourne
BURWOOD HEIGHTS 2136,Burwood Heights,2136,New South Wales,Sydney
BURWOOD HEIGHTS 3151,Burwood Heights,3151,Victoria,Melbourne
BURWOOD NORTH 2134,Burwood North,2134,New South Wales,Sydney
BUSBY 2168,Busby,2168,New South Wales,Sydney
BUSHELLS RIDGE 2259,Bushells Ridge,2259,New South Wales,Central Coast
BUSHLAND BEACH 4818,Bushland Beach,4818,Queensland,Townsville
BUTLER 6036,Butler,6036,Western Australia,Perth
BUTTABA 2283,Buttaba,2283,New South Wales,Newcastle
BUTTAI 2323,Buttai,2323,New South Wales,Newcastle
BUXTON 2571,Buxton,2571,New South Wales,Wollongong
BYFORD 6122,Byford,6122,Western Australia,Perth
BYRNESIDE 3617,Byrneside,3617,Victoria,Bendigo
BYRON BAY 2481,Byron Bay,2481,New South Wales,Northern Rivers
CABARITA 2137,Cabarita,2137,New South Wales,Sydney
CABARITA BEACH 2488,Cabarita Beach,2488,New South Wales,Gold Coast
CABARLAH 4352,Cabarlah,4352,Queensland,Toowoomba
CABOOLTURE 4510,Caboolture,4510,Queensland,Brisbane
CABOOLTURE BC 4510,Caboolture BC,4510,Queensland,Brisbane
CABOOLTURE SOUTH 4510,Caboolture South,4510,Queensland,Brisbane
CABRAMATTA 2166,Cabramatta,2166,New South Wales,Sydney
CABRAMATTA WEST 2166,Cabramatta West,2166,New South Wales,Sydney
CADDENS 2747,Caddens,2747,New South Wales,Sydney
CAIRNLEA 3023,Cairnlea,3023,Victoria,Melbourne
CAIRNS 4870,Cairns,4870,Queensland,Cairns
CAIRNS CENTRAL 4870,Cairns Central,4870,Queensland,Cairns
CAIRNS CITY 4870,Cairns City,4870,Queensland,Cairns
CAIRNS DC 4870,Cairns DC,4870,Queensland,Cairns
CAIRNS NORTH 4870,Cairns North,4870,Queensland,Cairns
CAIRNS ORCHID PLAZA 4870,Cairns Orchid Plaza,4870,Queensland,Cairns
CALALA 2340,Calala,2340,New South Wales,Remote
CALAMVALE 4116,Calamvale,4116,Queensland,Brisbane
CALCIUM 4816,Calcium,4816,Queensland,Townsville
CALDER PARK 3037,Calder Park,3037,Victoria,Melbourne
CALDERWOOD 2527,Calderwood,2527,New South Wales,Wollongong
CALEN 4798,Calen,4798,Queensland,Mackay
CALGA 2250,Calga,2250,New South Wales,Central Coast
CALIFORNIA GULLY 3556,California Gully,3556,Victoria,Bendigo
CALISTA 6167,Calista,6167,Western Australia,Perth
CALLAGHAN 2308,Callaghan,2308,New South Wales,Newcastle
CALLEMONDAH 4680,Callemondah,4680,Queensland,Capricorn Coast
CALLIDE 4715,Callide,4715,Queensland,Capricorn Coast
CALLIOPE 4680,Calliope,4680,Queensland,Capricorn Coast
CALOUNDRA 4551,Caloundra,4551,Queensland,Sunshine Coast
CALOUNDRA BC 4551,Caloundra BC,4551,Queensland,Sunshine Coast
CALOUNDRA DC 4551,Caloundra DC,4551,Queensland,Sunshine Coast
CALOUNDRA WEST 4551,Caloundra West,4551,Queensland,Sunshine Coast
CALWELL 2905,Calwell,2905,Australian Capital Territory,Canberra
CAMBERWELL 3124,Camberwell,3124,Victoria,Melbourne
CAMBERWELL EAST 3126,Camberwell East,3126,Victoria,Melbourne
CAMBERWELL NORTH 3124,Camberwell North,3124,Victoria,Melbourne
CAMBERWELL SOUTH 3124,Camberwell South,3124,Victoria,Melbourne
